,Title,Location,Categories,Date,Time
10,Hafenrundfahrt Kiel,Anleger Bahnhofsbrücke,"['Führung/Besichtigung', 'Kultur', 'Kultursommer']",05.10.2024,11:00 Uhr
11,Im Quasarenpalast,Projektraum 13,"['Ausstellung', 'Kultur', 'Sport/Freizeit']",05.10.2024,11:00 - 18:00 Uhr
12,Kiel (re)connecting.earth. Beyond Water,Stadtgalerie Kiel,"['Ausstellung', 'Kultur']",05.10.2024,11:00 - 17:00 Uhr
13,Begegnung mit Fadumo Korn exklusiv für somalische Frauen mit Brunch – Somali Kulturwochen,ZEIK,['Kultur'],05.10.2024,11:00 - 13:00 Uhr
14,Rathausturmfahrten,Rathaus Kiel,"['Führung/Besichtigung', 'Kultur', 'Kultursommer']",05.10.2024,11:00 - 11:30 Uhr
15,Weinbergwanderung und Weinverkostung,Hofcafé Gut Deutsch-Nienhof,"['Kultur', 'Regionale Spezialitäten', 'Führung/Besichtigung', 'Gastronomie', 'Kultursommer']",05.10.2024,11:00 Uhr
16,Prima Kunst: Johanna Blank – The Cabin,Stadtgalerie Kiel,['Ausstellung'],05.10.2024,11:00 - 17:00 Uhr
17,Aktionswoche mit cara*SH,Pop-up Pavillon,"['Ausstellung', 'Kultur']",05.10.2024,11:00 - 18:00 Uhr
18,Bauernmarkt 2024,Welcome Center Kieler Förde,"['Gastronomie', 'Kinderprogramm', 'Regionale Spezialitäten']",05.10.2024,11:00 - 18:00 Uhr
19,Kunstraum Sconeberg mit ganzjährigem Ausstellungsangebot,Kunstraum Sconeberg,"['Ausstellung', 'Kultur']",05.10.2024,11:00 - 18:00 Uhr
20,Rathausturmfahrten,Rathaus Kiel,"['Führung/Besichtigung', 'Kultur', 'Kultursommer']",05.10.2024,11:45 - 12:15 Uhr
21,Rathausturmfahrten,Rathaus Kiel,"['Führung/Besichtigung', 'Kultur', 'Kultursommer']",05.10.2024,12:30 - 13:00 Uhr
22,Hafenrundfahrt Kiel,Anleger Bahnhofsbrücke,"['Führung/Besichtigung', 'Kultur', 'Kultursommer']",05.10.2024,13:00 Uhr
23,Lars – der kleine Eisbär,Mediendom,"['Kinderprogramm', 'Kultur', 'Kultursommer']",05.10.2024,14:00 - 15:00 Uhr
24,Land der Legenden - Die Norddeutschen Realisten in der Bretagne,Künstlermuseum Heikendorf,"['Ausstellung', 'Kultur']",05.10.2024,14:00 - 17:00 Uhr
25,Jahrmarkt auf dem Wilhelmplatz,Wilhelmplatz Kiel,"['Gastronomie', 'Kinderprogramm', 'Kultur', 'Märkte', 'Regionale Spezialitäten', 'Sport/Freizeit']",05.10.2024,14:00 - 23:00 Uhr
26,Alles andere als grau,Förderverein Freya-Frahm-Haus,['Ausstellung'],05.10.2024,14:00 - 18:00 Uhr
27,Senior*innenkino in der Pumpe,Die Pumpe,['Kultur'],05.10.2024,14:00 Uhr
28,Auf Wasserwegen | Skulpturen und Zeichnungen von Michael Jastram,Galerie Brennwald,['Ausstellung'],05.10.2024,15:00 - 18:00 Uhr
29,Frederick - Mäusegeschichten,Werftparktheater Kiel,"['Theater', 'Kinderprogramm']",05.10.2024,15:00 - 16:15 Uhr
30,Führung durch unsere Sonderausstellung Land der Legenden. Die Norddeutschen Realisten in der Bretagne,Künstlermuseum Heikendorf,"['Ausstellung', 'Führung/Besichtigung']",05.10.2024,15:00 - 16:00 Uhr
31,Hafenrundfahrt Kiel,Anleger Bahnhofsbrücke,"['Führung/Besichtigung', 'Kultur', 'Kultursommer']",05.10.2024,15:00 Uhr
32,Kaluoka'hina - das Zauberriff,Mediendom,"['Kinderprogramm', 'Kultur', 'Kultursommer']",05.10.2024,15:30 - 16:30 Uhr
33,"„Ask a Sexworker!""",Pop-up Pavillon,"['Ausstellung', 'Kultur', 'Sport/Freizeit']",05.10.2024,16:00 Uhr
34,Ladies Night – Ganz oder gar nicht,Lore & Lay Theater-Frachter,"['Kultur', 'Theater']",05.10.2024,16:00 - 18:30 Uhr
35,SpacePark 360 – der ultimative Freizeit-Spaß,Mediendom,"['Kinderprogramm', 'Kultur', 'Kultursommer']",05.10.2024,17:00 - 18:00 Uhr
36,Der Rosenkavalier,Opernhaus,['Theater'],05.10.2024,18:00 - 22:00 Uhr
37,Ole Leev (Alte Liebe),Niederdeutsche Bühne,"['Theater', 'Kultur']",05.10.2024,18:00 - 20:00 Uhr
38,Planeten - Expeditionen ins Sonnensystem,Mediendom,"['Kultur', 'Kultursommer', 'Kinderprogramm']",05.10.2024,18:30 - 19:30 Uhr
39,Doc Koehler’s Sultans Of Swing: We Remember Bert Kaempfert!,KulturForum in der Stadtgalerie,['Konzert'],05.10.2024,19:00 - 21:00 Uhr
40,Ladies Night – Ganz oder gar nicht,Lore & Lay Theater-Frachter,"['Kultur', 'Theater']",05.10.2024,19:30 - 22:00 Uhr
