,Category,Title,Date,Time,Location,City
2274,Theater & Schauspiel,DES KAISERS NEUE KLEIDER,12.10.2024,16:00 - 17:00 Uhr,Theater am Tremser Teich,Lübeck
2275,sonstige Seminare & Kurse,"FRIEDEL ANDERSON ""BIS JETZT"" - MALEREI 1984 - 2024",12.10.2024,16:00 - 21:00 Uhr,Detlefsen-Museum,Glückstadt
2276,Sonstiges,HöFE UND GäNGE TOUR: VERSTECKTE WINKEL DER ALTSTADT,12.10.2024,16:00 - 17:30 Uhr,"vor dem Burgtor auf der Stadtaußenseite (Burgtorbrücke 2, 23552 Lübeck)",Lübeck
2277,sonstige Feste & Märkte,OKTOBERFEST 2024,12.10.2024,16:00 Uhr,Rathausplatz Quickborn,Quickborn
2278,"Familie / Kinder, Führung, Outdoor",AUF DEM TRISCHENDAMM DURCH DAS WELTNATURERBE WATTENMEER,12.10.2024,16:30 - 17:30 Uhr,"Süderdeich, Beginn des Trischendammes",Friedrichskoog
2279,N/A,GOTT ERLEBEN IN GEMEINSCHAFT,12.10.2024,16:30 - 18:00 Uhr,Jugendkapelle,Wyk
2280,N/A,N/A,N/A,N/A,N/A,N/A
2281,sonstige Konzerte,8. MARITIMES KONZERT MOORBEKSCHIPPER,12.10.2024,17:00 Uhr,Festsaal am Falkenberg,Norderstedt
2282,sonstige Konzerte,BLäSER- UND ORGELKONZERT,12.10.2024,17:00 Uhr,Christuskirche Schulau,Wedel
2283,sonstige Konzerte,HERBSTKONZERT,12.10.2024,17:00 - 18:30 Uhr,Katholische Kirche,Eckernförde
2284,sonstige Ausflüge & Führungen,KLOSTERFüHRUNG,12.10.2024,17:00 - 18:00 Uhr,Kloster Cismar,Cismar
2285,Sonstiges,LEBENSBAUM-INTERKULTURELLES THEATER-PROJEKT FüR FRAUEN,12.10.2024,17:00 - 20:00 Uhr,Aranat e.V. Frauenkommunikationszentrum,Lübeck
2286,sonstige Ausflüge & Führungen,MS HANSA | TRAVEFAHRT VON TRAVEMüNDE NACH LüBECK,12.10.2024,17:00 Uhr,Anleger Kaiserbrücke Travemünde,Travemünde
2287,Rundfahrten,MS HANSE | TRAVEFAHRT VON LüBECK NACH TRAVEMüNDE,12.10.2024,17:00 Uhr,Anleger Hansekai,Lübeck
2288,Theater,NVBG: AGATHA CHRISTIE: DE MUUSFALL,12.10.2024,17:00 - 19:30 Uhr,Kleines Theater Schillerstraße,Geesthacht
2289,Gottesdienste,SAMSTAGABENDGOTTESDIENST,12.10.2024,17:00 Uhr,St. Katharinen-Kirche,Probsteierhagen
2290,Sonstiges,STADTFüHRUNG: GäNGE UND HöFE IM SEEFAHRERVIERTEL,12.10.2024,17:00 - 18:30 Uhr,"Buddenbrooks am Markt, Markt 15",Lübeck
2291,N/A,N/A,N/A,N/A,N/A,N/A
2292,sonstige Ausflüge & Führungen,STADTFüHRUNG: GäNGE UND HöFE IM SEEFAHRERVIERTEL,12.10.2024,17:00 Uhr,Treffpunkt: Buddenbrook Shop,Lübeck
2293,"Kinder, Natur",FüHRUNG AM STRAND:,12.10.2024,17:15 Uhr,"Wandelbahn, Strandbar ""Seehund""",Wittdün auf Amrum
2294,"Abend / Nacht, Familie / Kinder, Führung, Outdoor",FüHRUNG DURCH DIE DüNEN: SAGEN UND MYTHEN DER NORDSEE,12.10.2024,17:15 - 18:45 Uhr,"Wittdün, Strandbar Seehund, Untere Wandelbahn 1",Wittdün
2295,"Abend / Nacht, Barrierefrei, Familie & Kinder, Familie / Kinder, Führung, Nationalpark & Wattenmeer, Outdoor",ABEND AM MEER - DURCH DEN NATIONALPARK ZUM LEUCHTTURM,12.10.2024,17:30 - 19:00 Uhr,"Ahndelweg 4, 25881 Westerheversand",Westerheversand
2296,"Führung, Natur, Naturveranstaltungen",AUF DEN SPUREN DES SCHIMMELREITERS,12.10.2024,17:30 - 19:00 Uhr,Schutzstation Beltringharder Koog,Reußenköge
2297,"Abend- und Nachtwanderungen, Abend / Nacht, Brauchtum / Tradition, Führung, Nationalpark & Wattenmeer, Naturkunde, Outdoor, sonstige Ausflüge & Führungen, Vortrag",FüHRUNG: AUF DEN SPUREN DES SCHIMMELREITERS,12.10.2024,17:30 - 19:30 Uhr,"nördlich von Nordstrand / Husum (Arlau Schleuse, Hattstedter Koog 42, 25856 Hattstedter Marsch) Treffpunkt: Info-Schaukasten",Hattstedter Marsch
2298,N/A,TAI CHI UND MEDITATION AM STRAND,12.10.2024,17:30 - 18:30 Uhr,"Treffpunkt: Strandpromenade, Höhe Wasserspiele / Fontänenfeld",Travemünde
